area,country_code,dash_score_a,order_a,dash_score_b,order_b,total_dash_score,energy_distance,order_total,hdi_2013,gini_index,ghi_200913,gni_per_capita_current_us,"malnutrition_prevalence,_height_for_age_of_children_under_5","malnutrition_prevalence,_weight_for_age_of_children_under_5",sex,mean_bmi_lower_95_uncertainty_interval,mean_bmi_upper_95_uncertainty_interval,mean_bmi,number_of_people_who_are_undernourished_sn.itk.defc,prevalence_of_bmi_18.5_to_20_lower_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_upper_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_,prevalence_of_bmi_20_to_25_lower_95_uncertainty_interval,prevalence_of_bmi_20_to_25_upper_95_uncertainty_interval,prevalence_of_bmi_20_to_25_,prevalence_of_bmi_25_to_30_lower_95_uncertainty_interval,prevalence_of_bmi_25_to_30_upper_95_uncertainty_interval,prevalence_of_bmi_25_to_30_,prevalence_of_bmi_30_to_35_lower_95_uncertainty_interval,prevalence_of_bmi_30_to_35_upper_95_uncertainty_interval,prevalence_of_bmi_30_to_35_,prevalence_of_bmi_35_to_40_lower_95_uncertainty_interval,prevalence_of_bmi_35_to_40_upper_95_uncertainty_interval,prevalence_of_bmi_35_to_40_,prevalence_of_bmi_40_lower_95_uncertainty_interval,prevalence_of_bmi_40_upper_95_uncertainty_interval,prevalence_of_bmi_40_morbid_obesity,prevalence_of_bmi18.5_underweight,prevalence_of_bmi18.5_lower_95_uncertainty_interval,prevalence_of_bmi18.5_upper_95_uncertainty_interval,prevalence_of_bmi30_obesity,prevalence_of_bmi30_lower_95_uncertainty_interval,prevalence_of_bmi30_upper_95_uncertainty_interval,prevalence_of_bmi35_severe_obesity,prevalence_of_bmi35_lower_95_uncertainty_interval,prevalence_of_bmi35_upper_95_uncertainty_interval,prevalence_of_anemia_among_children_of_children_under_5_sh.anm.chld.zs,prevalence_of_anemia_among_nonpregnant_women_of_women_ages_1549_sh.anm.nprg.zs,prevalence_of_anemia_among_pregnant_women_sh.prg.anem,prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_1549_sh.anm.allw.zs,prevalence_of_overweight_of_adults_sh.sta.owad.zs,prevalence_of_overweight_of_children_under_5_sh.sta.owgh.zs,"prevalence_of_severe_wasting,_weight_for_height_of_children_under_5_sh.svr.wast.zs",prevalence_of_undernourishment_of_population_sn.itk.defc.zs,prevalence_of_wasting_of_children_under_5_sh.sta.wast.zs
Bahamas,BHS,17,103,10,196,27,298,196,0.807,,,27990,,,Men,24.73213209,29.39178492,27.03,,0.018084262,0.062583121,0.035777922,0.273561595,0.410446501,0.340330329,0.291492161,0.441999343,0.366309024,0.098379168,0.241566273,0.164215004,0.016644465,0.101230382,0.048874159,0.004404047,0.056317034,0.021446922,0.02304664,0.006235065,0.055663422,0.234536086,0.160345555,0.316378677,0.070321082,0.030270437,0.127796159,29,22.1,26.9,22.3,62.8,,,,
Bahamas,BHS,17,103,10,196,27,298,196,0.807,,,27990,,,Women,25.56934554,31.98636841,28.82,,0.018926808,0.058772963,0.035306177,0.196580849,0.313836592,0.252369873,0.241815143,0.374078452,0.307121643,0.131036046,0.280548809,0.20144675,0.05125675,0.184754635,0.109069117,0.023382033,0.146288395,0.070342801,0.024343638,0.007474196,0.055655313,0.380858669,0.29528772,0.466833044,0.179411918,0.103684271,0.271925603,29,22.1,26.9,22.3,62.8,,,,
Bangladesh,BGD,11,204,25,17,36,100,53,0.575,,<5,1010,38.7,35.1,Men,20.75255271,21.68180533,21.22,26400000,0.109966825,0.215618588,0.158884895,0.398312926,0.530732222,0.463543513,0.107133806,0.19839778,0.149409837,0.008320786,0.03187138,0.017943047,0.000202258,0.002323592,0.000884508,4.70E-05,0.000912349,0.000300835,0.209033366,0.144295556,0.279607515,0.019128389,0.009433949,0.033114309,0.001185343,0.000374862,0.002722346,43.5,39.6,46.6,40,18.2,2.6,4.9,16.8,18.1
Bangladesh,BGD,11,204,25,17,36,100,53,0.575,,<5,1010,38.7,35.1,Women,21.17379854,22.10039421,21.64,26400000,0.101439889,0.188922023,0.142855285,0.350045761,0.462258902,0.404343716,0.13046127,0.208071993,0.166487154,0.021950657,0.057726983,0.037448143,0.002030503,0.009350284,0.004909782,0.000572624,0.004051637,0.001764024,0.242191897,0.178970477,0.307968633,0.044121949,0.027891455,0.065025584,0.006673806,0.003372141,0.011502084,43.5,39.6,46.6,40,18.2,2.6,4.9,16.8,18.1
Barbados,BRB,19,51,12,176,31,569,158,0.796,,,15920,,,Men,25.41743085,27.09520669,26.26,100000,0.038912598,0.106771922,0.068663329,0.380185323,0.525217063,0.45297724,0.237307527,0.37822937,0.304993212,0.060139459,0.155269175,0.102340645,0.009311522,0.049925935,0.024699632,0.002509263,0.025884952,0.009986139,0.036339803,0.016016743,0.066611616,0.137026416,0.089959583,0.195909554,0.034685771,0.015802342,0.063871024,31.7,20.5,25.2,20.6,50.5,,,4.4,
Barbados,BRB,19,51,12,176,31,569,158,0.796,,,15920,,,Women,28.1355586,30.12967588,29.13,100000,0.028255835,0.079420272,0.050555371,0.260629214,0.383173909,0.321231106,0.235086645,0.351261634,0.291501599,0.110588168,0.233998695,0.166347931,0.04298735,0.131720593,0.081720667,0.024749627,0.106752621,0.057844519,0.030798808,0.013537646,0.056795404,0.305913116,0.237069943,0.378529528,0.139565185,0.0874474,0.202100968,31.7,20.5,25.2,20.6,50.5,,,4.4,
Belarus,BLR,16,130,9,201,25,896,207,0.804,26.6,11.2,7010,,,Men,25.66752464,27.21020544,26.43,200000,0.010826102,0.038309101,0.02157998,0.286813418,0.408837812,0.34609919,0.343089848,0.4810603,0.411242903,0.103717294,0.234867465,0.165005633,0.015057866,0.078588203,0.039941102,0.001660394,0.022014792,0.008230854,0.00790034,0.002327251,0.018853742,0.213177588,0.147611522,0.283184869,0.048171955,0.021314672,0.087731611,24.1,20.7,23.3,20.8,58.1,,,2.5,
Belarus,BLR,16,130,9,201,25,896,207,0.804,26.6,11.2,7010,,,Women,25.90848752,27.77247538,26.83,200000,0.02743248,0.074255147,0.047066456,0.296666832,0.425524694,0.358975457,0.247583579,0.368440013,0.307570334,0.110201343,0.244870736,0.172838785,0.029007529,0.118398685,0.066868765,0.007093415,0.061147081,0.026447388,0.020232815,0.007266546,0.044026798,0.266154938,0.194949048,0.340317167,0.093316153,0.048700227,0.151181087,24.1,20.7,23.3,20.8,58.1,,,2.5,
Belgium,BEL,21,22,12,172,33,1384,125,0.908,27.7,,47500,,,Men,26.16320805,27.28139525,26.72,300000,0.006978358,0.018321644,0.011796998,0.257278704,0.347599976,0.301850083,0.406932325,0.507457241,0.458083509,0.139739951,0.228075107,0.181819984,0.020331035,0.057378434,0.035874911,0.002971473,0.016204896,0.007834762,0.002739753,0.001254089,0.005060464,0.225529657,0.182189985,0.272244254,0.043709673,0.026897326,0.065987637,10.8,13.6,22.5,13.9,58.6,,,2.5,
Belgium,BEL,21,22,12,172,33,1384,125,0.908,27.7,,47500,,,Women,24.95679978,26.35051665,25.66,300000,0.037121791,0.078548932,0.055598107,0.357357218,0.452184933,0.403967155,0.265317417,0.357450836,0.311730615,0.109008032,0.190153892,0.147959583,0.026909736,0.068442673,0.044922845,0.009131544,0.034144388,0.019074089,0.016747605,0.009148275,0.027930415,0.211956517,0.169339413,0.256834365,0.063996934,0.042650462,0.090385052,10.8,13.6,22.5,13.9,58.6,,,2.5,
Belize,BLZ,18,77,14,150,32,379,136,0.705,,,4280,,,Men,26.13308175,28.61258902,27.36,100000,0.032416823,0.09979963,0.061302093,0.355878629,0.499853073,0.425878414,0.250017015,0.393441296,0.321645653,0.065647232,0.177838725,0.114193686,0.00985169,0.06175094,0.028472009,0.00276185,0.034012356,0.012759584,0.035748561,0.013029663,0.073356716,0.155425279,0.100125013,0.223378511,0.041231593,0.017922437,0.078427669,22.3,20.8,21.2,20.8,53,,,6.6,
Belize,BLZ,18,77,14,150,32,379,136,0.705,,,4280,,,Women,29.01602354,31.71586164,30.39,100000,0.025711241,0.075211357,0.046831996,0.248537319,0.37364958,0.310277383,0.242463682,0.36814959,0.304357483,0.107458635,0.239749956,0.169219035,0.038879532,0.142144108,0.083492656,0.020141087,0.114539564,0.056745076,0.029076372,0.0106082,0.060313508,0.309456767,0.233413421,0.388155048,0.140237731,0.080391079,0.212152051,22.3,20.8,21.2,20.8,53,,,6.6,
Benin,BEN,14,168,19,77,33,265,108,0.5,,,890,,,Men,21.65110521,23.47631828,22.56,1000000,0.097377371,0.214061308,0.151485634,0.46387513,0.603806414,0.534961893,0.115604734,0.217282347,0.163016658,0.016401514,0.061683953,0.034378403,0.001399312,0.0127472,0.00516429,0.000453371,0.007435998,0.002542655,0.108450467,0.055158472,0.175535951,0.042085348,0.022747925,0.069828055,0.007706945,0.002842429,0.016648005,66.5,49.2,58.6,50.1,27.8,,,10.2,
Benin,BEN,14,168,19,77,33,265,108,0.5,,,890,,,Women,23.48867632,24.9695519,24.24,1000000,0.076768617,0.154056478,0.112255149,0.381632399,0.490469172,0.435850351,0.188031188,0.275914011,0.230794494,0.054460395,0.125733554,0.086361638,0.013373582,0.049529807,0.028041252,0.007329972,0.037100564,0.018638198,0.088058919,0.047306102,0.142321623,0.133041088,0.095237161,0.176345017,0.04667945,0.026717027,0.073028408,66.5,49.2,58.6,50.1,27.8,,,10.2,
Bermuda,BMU,18,81,10,195,28,293,187,#N/A,,,106140,,,Men,25.14508471,29.94027958,27.5,,0.012480085,0.048812222,0.026753343,0.233416591,0.365733622,0.297797941,0.299729104,0.455626497,0.376674663,0.116038088,0.271038198,0.188928464,0.023434676,0.128764697,0.063851714,0.006302351,0.075802267,0.028434524,0.017559352,0.004382314,0.043794021,0.281214702,0.200575693,0.367506991,0.092286237,0.041896681,0.163449469,,,,,,,,,
Bermuda,BMU,18,81,10,195,28,293,187,#N/A,,,106140,,,Women,25.99463842,32.49694999,29.24,,0.015147646,0.051229508,0.029785983,0.171579566,0.285647462,0.226285225,0.238283376,0.373562253,0.303390136,0.139698674,0.299167279,0.215428969,0.059037095,0.201728586,0.123196109,0.02899159,0.160784253,0.08207119,0.019842387,0.005680044,0.046897151,0.420696268,0.331486316,0.509936046,0.205267299,0.12073441,0.301176991,,,,,,,,,
Bolivia (Plurinational State of),BOL,13,193,18,99,31,-106,147,0.668,47.6,<5,2620,,,Men,23.65237902,26.52180872,25.1,2200000,0.019507202,0.071924746,0.040191271,0.353445063,0.506434765,0.429015404,0.303403694,0.457267689,0.37989132,0.063448152,0.18695216,0.118059655,0.003257349,0.03714211,0.014437675,0.000394419,0.014300587,0.00398266,0.014422014,0.004006361,0.03564756,0.13647999,0.080247862,0.205885869,0.018420334,0.00550931,0.043336753,49.2,29.3,36.3,29.8,54.3,,,21.4,
Bolivia (Plurinational State of),BOL,13,193,18,99,31,-106,147,0.668,47.6,<5,2620,,,Women,26.39752174,28.66376581,27.53,2200000,0.019300581,0.058017963,0.035677501,0.292376959,0.415143672,0.353196071,0.286700326,0.413879052,0.347720349,0.110789175,0.234493935,0.1702327,0.027439398,0.104403907,0.05871792,0.006024766,0.04755702,0.020759576,0.013695883,0.004735799,0.029104315,0.249710195,0.183535501,0.319049098,0.079477496,0.043041572,0.129445373,49.2,29.3,36.3,29.8,54.3,,,21.4,
Bosnia and Herzegovina,BIH,21,14,16,114,37,801,50,0.747,,13.4,5180,,,Men,25.35531637,27.16752876,26.26,100000,0.010980779,0.035304914,0.021239387,0.317015844,0.438831811,0.377477176,0.365515763,0.500165086,0.43282582,0.089555994,0.195990253,0.13852822,0.007535117,0.040697536,0.020622354,0.001097645,0.012267685,0.004655926,0.004651117,0.001535312,0.010191151,0.1638065,0.112548632,0.220939413,0.02527828,0.011144621,0.04627179,26.4,27.5,29.2,27.5,51.7,,,2.5,
Bosnia and Herzegovina,BIH,21,14,16,114,37,801,50,0.747,,13.4,5180,,,Women,24.05780104,26.31956943,25.19,100000,0.041746367,0.099048347,0.067114762,0.376191131,0.497105344,0.436068302,0.236847395,0.345530957,0.290238795,0.083217347,0.185535891,0.12982089,0.018019812,0.069860315,0.039146104,0.004283637,0.029232985,0.013237684,0.024373464,0.011002536,0.044658755,0.182204678,0.130205048,0.240422766,0.052383788,0.028350086,0.085588848,26.4,27.5,29.2,27.5,51.7,,,2.5,
Botswana,BWA,14,174,16,127,30,-30,162,0.693,,<5,7480,,,Men,21.91556672,23.12916337,22.5,500000,0.074951711,0.180833202,0.121569715,0.390611191,0.541319606,0.465406556,0.154646163,0.280589925,0.215563643,0.029412748,0.100415903,0.059553841,0.002777607,0.023262147,0.009962329,0.001204913,0.014938849,0.005646348,0.122297567,0.063401684,0.201068594,0.075162518,0.04214958,0.118314379,0.015608677,0.006187218,0.030702615,40.9,29.1,33.7,29.3,41.9,,,24.9,
