area,country_code,dash_score_a,order_a,dash_score_b,order_b,total_dash_score,energy_distance,order_total,hdi_2013,gini_index,ghi_200913,gni_per_capita_current_us,"malnutrition_prevalence,_height_for_age_of_children_under_5","malnutrition_prevalence,_weight_for_age_of_children_under_5",sex,mean_bmi_lower_95_uncertainty_interval,mean_bmi_upper_95_uncertainty_interval,mean_bmi,number_of_people_who_are_undernourished_sn.itk.defc,prevalence_of_bmi_18.5_to_20_lower_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_upper_95_uncertainty_interval,prevalence_of_bmi_18.5_to_20_,prevalence_of_bmi_20_to_25_lower_95_uncertainty_interval,prevalence_of_bmi_20_to_25_upper_95_uncertainty_interval,prevalence_of_bmi_20_to_25_,prevalence_of_bmi_25_to_30_lower_95_uncertainty_interval,prevalence_of_bmi_25_to_30_upper_95_uncertainty_interval,prevalence_of_bmi_25_to_30_,prevalence_of_bmi_30_to_35_lower_95_uncertainty_interval,prevalence_of_bmi_30_to_35_upper_95_uncertainty_interval,prevalence_of_bmi_30_to_35_,prevalence_of_bmi_35_to_40_lower_95_uncertainty_interval,prevalence_of_bmi_35_to_40_upper_95_uncertainty_interval,prevalence_of_bmi_35_to_40_,prevalence_of_bmi_40_lower_95_uncertainty_interval,prevalence_of_bmi_40_upper_95_uncertainty_interval,prevalence_of_bmi_40_morbid_obesity,prevalence_of_bmi18.5_underweight,prevalence_of_bmi18.5_lower_95_uncertainty_interval,prevalence_of_bmi18.5_upper_95_uncertainty_interval,prevalence_of_bmi30_obesity,prevalence_of_bmi30_lower_95_uncertainty_interval,prevalence_of_bmi30_upper_95_uncertainty_interval,prevalence_of_bmi35_severe_obesity,prevalence_of_bmi35_lower_95_uncertainty_interval,prevalence_of_bmi35_upper_95_uncertainty_interval,prevalence_of_anemia_among_children_of_children_under_5_sh.anm.chld.zs,prevalence_of_anemia_among_nonpregnant_women_of_women_ages_1549_sh.anm.nprg.zs,prevalence_of_anemia_among_pregnant_women_sh.prg.anem,prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_1549_sh.anm.allw.zs,prevalence_of_overweight_of_adults_sh.sta.owad.zs,prevalence_of_overweight_of_children_under_5_sh.sta.owgh.zs,"prevalence_of_severe_wasting,_weight_for_height_of_children_under_5_sh.svr.wast.zs",prevalence_of_undernourishment_of_population_sn.itk.defc.zs,prevalence_of_wasting_of_children_under_5_sh.sta.wast.zs
Dominica,DMA,21,15,16,115,37,575,51,0.721,,,6610,,,Men,23.73742834,25.93685045,24.83,100000,0.026114342,0.081776588,0.049396442,0.310420882,0.451301029,0.379502048,0.281543419,0.424293952,0.352384515,0.086419606,0.209728543,0.142741249,0.011007741,0.067063371,0.031973193,0.002781531,0.035444658,0.013261002,0.03074155,0.010817937,0.06539875,0.187975444,0.125396225,0.260015567,0.045234195,0.01914195,0.084393882,32.3,23.2,28.8,23.4,58.4,,,6,
Dominica,DMA,21,15,16,115,37,575,51,0.721,,,6610,,,Women,27.62863669,30.23599621,28.92,100000,0.022647982,0.066496188,0.040744578,0.215362245,0.331921167,0.271789504,0.246669225,0.369849702,0.308243752,0.125992898,0.259960844,0.190559982,0.052383863,0.164881905,0.10062142,0.022389636,0.118186598,0.060419038,0.027621726,0.009884655,0.056525654,0.35160044,0.273535239,0.429529191,0.161040458,0.098082073,0.236463194,32.3,23.2,28.8,23.4,58.4,,,6,
Dominican Republic,DOM,18,65,19,72,37,248,47,0.713,47.7,7.9,5890,7.1,4,Men,24.83235042,26.15216113,25.48,1300000,0.024581796,0.071841861,0.044579915,0.305796157,0.438003936,0.370499019,0.295812308,0.428645515,0.361675763,0.091280117,0.203922409,0.143549326,0.015243934,0.069128186,0.036636363,0.003388479,0.029838133,0.012446923,0.030612691,0.012867782,0.059564797,0.192632612,0.135505963,0.256686059,0.049083286,0.02421832,0.084321862,27.5,29,32.3,29.2,58.5,7.6,0.8,12.7,2.4
Dominican Republic,DOM,18,65,19,72,37,248,47,0.713,47.7,7.9,5890,7.1,4,Women,26.40844513,28.08247379,27.25,1300000,0.024304573,0.065750304,0.041823481,0.21953505,0.329518735,0.273604831,0.263671265,0.379209103,0.319554709,0.132168667,0.254155482,0.190850588,0.050672827,0.144113929,0.092114032,0.02080509,0.089576488,0.048791312,0.033261048,0.015047515,0.06070658,0.331755932,0.265807442,0.400057896,0.140905344,0.09020911,0.200116616,27.5,29,32.3,29.2,58.5,7.6,0.8,12.7,2.4
Ecuador,ECU,13,195,17,112,30,-11,161,0.734,46.9,<5,5830,,,Men,25.69019332,27.08655163,26.4,1300000,0.018456654,0.063812726,0.037180459,0.355692,0.503889389,0.430988435,0.308143137,0.458621458,0.381586214,0.069015303,0.181579791,0.119468546,0.005358711,0.039039053,0.016997993,0.000784666,0.012699762,0.004378194,0.009400158,0.00252742,0.022875575,0.140844734,0.088566945,0.204435799,0.021376187,0.008366002,0.044347991,28.7,17.8,26.2,18.2,54.3,,,8.2,
Ecuador,ECU,13,195,17,112,30,-11,161,0.734,46.9,<5,5830,,,Women,26.7999073,28.53395881,27.66,1300000,0.01910704,0.056862469,0.035476781,0.295797708,0.423381399,0.359283785,0.288660638,0.415604706,0.350403352,0.113043205,0.238487472,0.171139231,0.024897445,0.096103297,0.053672904,0.004822235,0.038792465,0.017074422,0.012949526,0.004515382,0.027901542,0.241886557,0.178324263,0.311409983,0.070747325,0.037929033,0.115909102,28.7,17.8,26.2,18.2,54.3,,,8.2,
Egypt,EGY,20,25,20,54,40,1163,14,0.68,,6.2,2990,,,Men,27.18865201,28.09450388,27.64,3900000,0.023081236,0.059262504,0.038766131,0.320752177,0.430764834,0.376252927,0.295979514,0.412308409,0.354115148,0.109917087,0.207444309,0.154680849,0.02320235,0.074676708,0.043970909,0.006161955,0.030006066,0.015185813,0.017028224,0.008288843,0.030335341,0.21383757,0.161419765,0.269290751,0.059156722,0.035255251,0.091022548,33.6,29.2,24,28.9,61.5,,,4.4,
Egypt,EGY,20,25,20,54,40,1163,14,0.68,,6.2,2990,,,Women,30.73267623,31.63251998,31.18,3900000,0.015691923,0.040043226,0.026581098,0.222592394,0.311872482,0.267532346,0.245183474,0.339758278,0.29173109,0.174915376,0.282283421,0.226968709,0.07407333,0.156207297,0.111707796,0.03723372,0.101458402,0.064850996,0.010627966,0.005182204,0.018671403,0.4035275,0.347243294,0.460637683,0.176558792,0.131457575,0.229180706,33.6,29.2,24,28.9,61.5,,,4.4,
El Salvador,SLV,16,119,19,75,35,217,85,0.671,43.4,33.8,3360,,,Men,25.08782169,28.48948443,26.75,700000,0.016504647,0.055221485,0.032609589,0.323980141,0.451791173,0.386700689,0.314274785,0.456289414,0.387055947,0.084921078,0.208984328,0.141229111,0.008823314,0.058925183,0.027163008,0.001975035,0.028234085,0.009973296,0.015268361,0.004704532,0.036260575,0.178365414,0.117202092,0.248295182,0.037136303,0.015480989,0.071421255,28.3,19.2,26.8,19.5,58,,,11.8,
El Salvador,SLV,16,119,19,75,35,217,85,0.671,43.4,33.8,3360,,,Women,27.11617157,29.19298967,28.17,700000,0.022517591,0.06042777,0.039188742,0.267429768,0.370048693,0.317275262,0.283426277,0.396755846,0.33989047,0.130173196,0.254746853,0.188791262,0.035731669,0.114226164,0.069248694,0.007980087,0.051653846,0.024359025,0.021246545,0.008626453,0.041824406,0.282398981,0.218790333,0.350426564,0.093607719,0.055162407,0.143445165,28.3,19.2,26.8,19.5,58,,,11.8,
Estonia,EST,22,6,14,142,36,895,72,0.862,35.1,24.4,18280,,,Men,26.45419393,27.34813272,26.91,100000,0.012750965,0.031685674,0.021009629,0.324367695,0.42623698,0.374598392,0.346785592,0.453638045,0.400266936,0.115587148,0.200174805,0.155989681,0.018556364,0.052971244,0.033300518,0.003796215,0.017564177,0.009089029,0.005745817,0.002860044,0.010040088,0.198379228,0.156694736,0.243816828,0.042389547,0.026166639,0.063506806,24.4,23.7,24.7,23.7,54.8,,,2.9,
Estonia,EST,22,6,14,142,36,895,72,0.862,35.1,24.4,18280,,,Women,25.46668167,26.47276616,25.97,100000,0.036143598,0.076564113,0.054205576,0.337282114,0.448740732,0.392058883,0.261511503,0.360517832,0.309645612,0.107145577,0.19117595,0.147508253,0.033551282,0.081112058,0.054580147,0.009876785,0.035543643,0.020117517,0.021884012,0.012477533,0.035031292,0.222205917,0.177304713,0.269823407,0.074697665,0.051036216,0.103771849,24.4,23.7,24.7,23.7,54.8,,,2.9,
Eswatini,SWZ,14,171,19,80,33,-34,111,0.572,,5.9,4010,,,Men,23.67914719,25.08041764,24.37,300000,0.098499675,0.224677277,0.156636325,0.449794559,0.603201345,0.527115886,0.116743964,0.227990514,0.168665761,0.018129909,0.070079877,0.038845432,0.001637218,0.014950016,0.006190288,0.000722964,0.010529836,0.003762216,0.098784092,0.045622135,0.170666547,0.048797936,0.025914583,0.081315535,0.009952504,0.003634758,0.020856469,41.9,26.2,30.4,26.5,36.8,,,21.5,
Eswatini,SWZ,14,171,19,80,33,-34,111,0.572,,5.9,4010,,,Women,28.10617258,29.72195248,28.91,300000,0.043078593,0.109610376,0.071957865,0.291962494,0.417068565,0.354326649,0.211432168,0.327984647,0.267163619,0.100206632,0.223787796,0.156057631,0.027587369,0.105987154,0.06033182,0.013027393,0.07762292,0.037469755,0.052692662,0.022157542,0.099908124,0.253859205,0.186961132,0.326643225,0.097801574,0.054830516,0.151803763,41.9,26.2,30.4,26.5,36.8,,,21.5,
Ethiopia,ETH,14,158,26,10,40,-224,10,0.438,,<5,470,,,Men,19.29207996,20.81410481,20.06,25500000,0.123837604,0.255609113,0.183992376,0.434578069,0.589047927,0.512498924,0.074641839,0.159825192,0.113956158,0.005851071,0.029302383,0.015076813,0.000213269,0.002936112,0.00105669,5.23E-05,0.001337592,0.000396816,0.173022222,0.098406775,0.263184943,0.01653032,0.007151708,0.030957933,0.001453507,0.000428626,0.003620449,50.4,21.5,24.6,21.8,19.4,,,26.9,
Ethiopia,ETH,14,158,26,10,40,-224,10,0.438,,<5,470,,,Women,20.00825145,21.80676391,20.91,25500000,0.091019311,0.186034061,0.134129353,0.384073706,0.510859332,0.447649164,0.162353295,0.25411125,0.206591743,0.027401933,0.080144951,0.050145355,0.003128759,0.019581357,0.009099431,0.000773401,0.008121128,0.003129526,0.149255428,0.08400305,0.229525399,0.062374312,0.037976538,0.094340084,0.012228957,0.005238226,0.023720283,50.4,21.5,24.6,21.8,19.4,,,26.9,
Ethiopia,,5,215,30,6,35,-224,78,0.438,,,,,,Men,19.29207996,20.81410481,20.06,,0.123837604,0.255609113,0.183992376,0.434578069,0.589047927,0.512498924,0.074641839,0.159825192,0.113956158,0.005851071,0.029302383,0.015076813,0.000213269,0.002936112,0.00105669,5.23E-05,0.001337592,0.000396816,0.173022222,0.098406775,0.263184943,0.01653032,0.007151708,0.030957933,0.001453507,0.000428626,0.003620449,,,,,,,,,
Ethiopia,,5,215,30,6,35,-224,78,0.438,,,,,,Women,20.00825145,21.80676391,20.91,,0.091019311,0.186034061,0.134129353,0.384073706,0.510859332,0.447649164,0.162353295,0.25411125,0.206591743,0.027401933,0.080144951,0.050145355,0.003128759,0.019581357,0.009099431,0.000773401,0.008121128,0.003129526,0.149255428,0.08400305,0.229525399,0.062374312,0.037976538,0.094340084,0.012228957,0.005238226,0.023720283,,,,,,,,,
Fiji,FJI,15,145,16,125,31,590,151,0.727,36.7,6.1,4640,,,Men,25.80321564,27.17467945,26.48,100000,0.010591159,0.043636149,0.023663291,0.284291683,0.444428207,0.363340903,0.279175989,0.43503482,0.356851187,0.114702503,0.257248564,0.181905877,0.015857381,0.078203229,0.040631223,0.004529412,0.037989313,0.01623457,0.017372949,0.006500261,0.0360823,0.238771671,0.167523116,0.317565312,0.056865793,0.027411865,0.097200015,38.5,29.3,38.9,29.8,62,,,4.4,
Fiji,FJI,15,145,16,125,31,590,151,0.727,36.7,6.1,4640,,,Women,28.00910762,29.55395167,28.77,100000,0.014105769,0.049187101,0.028348005,0.210316811,0.344170946,0.27497856,0.264674835,0.397827035,0.32979113,0.149048754,0.29265804,0.216121067,0.047814228,0.147427775,0.090176549,0.016059289,0.081581098,0.042297193,0.018287496,0.007585048,0.036562139,0.348594809,0.272479168,0.425591919,0.132473742,0.080737111,0.194254201,38.5,29.3,38.9,29.8,62,,,4.4,
Finland,FIN,18,83,8,210,26,998,205,0.912,27.2,,49220,,,Men,26.17253204,26.97639982,26.57,100000,0.008173107,0.019369691,0.012965207,0.279774923,0.365768974,0.322173658,0.382762718,0.478893448,0.431847799,0.135819775,0.216997537,0.174675136,0.028257758,0.067068058,0.045250484,0.005210846,0.019821213,0.011048288,0.002039427,0.000990536,0.003613571,0.230973909,0.189352622,0.275334506,0.056298772,0.037678343,0.078864982,11,13.4,21.1,13.6,56.9,,,2.5,
Finland,FIN,18,83,8,210,26,998,205,0.912,27.2,,49220,,,Women,25.20854667,26.14035924,25.68,100000,0.039939405,0.079144286,0.057131609,0.375512699,0.46494436,0.420271961,0.259316976,0.344113042,0.301044463,0.104267498,0.174308524,0.137991872,0.030750132,0.071224648,0.048441216,0.010810198,0.031836219,0.019831426,0.015287453,0.008902174,0.024104999,0.206264515,0.16903225,0.245537235,0.068272642,0.048328569,0.093033585,11,13.4,21.1,13.6,56.9,,,2.5,
France,FRA,17,105,8,211,25,1129,210,0.889,32.5,,43780,,,Men,25.26410591,26.79625244,26.02,1600000,0.0090608,0.025685805,0.016041046,0.254390687,0.360724141,0.306284373,0.398297119,0.520194423,0.459728969,0.119535016,0.224133988,0.169450857,0.018186467,0.061855101,0.036226136,0.002587778,0.017254382,0.007769086,0.004499533,0.001910496,0.008865443,0.213446079,0.160327847,0.269873056,0.043995222,0.024293075,0.071163234,11.1,15.1,24.2,15.4,58.2,,,2.5,
France,FRA,17,105,8,211,25,1129,210,0.889,32.5,,43780,,,Women,23.52384468,25.2967255,24.41,1600000,0.032526732,0.079895499,0.052887795,0.338081928,0.45013528,0.391791155,0.263381537,0.369113376,0.31562838,0.091398939,0.18678681,0.137863967,0.030969731,0.089313261,0.056245273,0.006574845,0.033140975,0.017099797,0.028483633,0.014728563,0.048576479,0.211209037,0.159112548,0.26529712,0.07334507,0.045091493,0.10803195,11.1,15.1,24.2,15.4,58.2,,,2.5,
French Polynesia,PYF,17,101,11,188,28,551,185,#N/A,,,,,,Men,28.69006251,30.49722952,29.59,100000,0.002137632,0.010226563,0.005150937,0.134650677,0.235117266,0.182647711,0.270409436,0.417044599,0.34141467,0.182734281,0.338806771,0.259277708,0.066690341,0.202741189,0.129022514,0.032014932,0.150103166,0.081132304,0.001354156,0.000300459,0.003636154,0.469432526,0.382796734,0.554812542,0.210154818,0.133854445,0.298840129,,,,,,,,4.2,
French Polynesia,PYF,17,101,11,188,28,551,185,#N/A,,,,,,Women,28.510714,30.61378105,29.54,100000,0.005158204,0.020958843,0.011561566,0.100580061,0.179375213,0.137929107,0.222943654,0.353650317,0.285575475,0.184271865,0.336861282,0.259210981,0.096780097,0.244147931,0.165570287,0.064693601,0.214233623,0.131670484,0.0084821,0.002614281,0.019392015,0.556451752,0.47737183,0.63300899,0.297240771,0.208743669,0.388126843,,,,,,,,4.2,
Gabon,GAB,13,191,19,83,32,460,129,0.687,,13.6,9330,,,Men,22.41765397,25.57038405,23.98,200000,0.058888118,0.197322928,0.116661833,0.338508797,0.5446386,0.440266313,0.161469049,0.329587561,0.240825556,0.030130818,0.130847734,0.071788498,0.003146576,0.039654207,0.014985088,0.000183647,0.011087149,0.002776798,0.112695914,0.045550206,0.209205532,0.089550384,0.044314474,0.152564102,0.017761886,0.004670954,0.043221107,62.5,58.2,60.8,58.4,38.5,,,9,
Gabon,GAB,13,191,19,83,32,460,129,0.687,,13.6,9330,,,Women,25.40895153,27.28402305,26.35,200000,0.051348887,0.143137151,0.090479913,0.303058221,0.456127792,0.377474026,0.204758503,0.331933972,0.265945118,0.072736965,0.193438847,0.126911775,0.0248621,0.106365873,0.057412173,0.003520471,0.035991089,0.014730238,0.067046756,0.028863121,0.124345235,0.199054187,0.137260154,0.275391308,0.072142411,0.036119852,0.122739698,62.5,58.2,60.8,58.4,38.5,,,9,
Gambia,GMB,13,184,23,31,36,267,54,0.453,,,570,25,16.4,Men,22.34624582,24.11607825,23.22,200000,0.085475134,0.19756716,0.1358701,0.450110526,0.59265087,0.522469926,0.133207291,0.242626215,0.185249264,0.019962905,0.071045458,0.040848355,0.001622259,0.015254184,0.006193659,0.000476521,0.008564401,0.002852431,0.106516265,0.053272856,0.178684237,0.049894445,0.027333461,0.080940592,0.00904609,0.003200531,0.019299288,76,56.5,62.1,57.2,29.8,3.2,4.3,9.7,11.1
Gambia,GMB,13,184,23,31,36,267,54,0.453,,,570,25,16.4,Women,23.68169746,25.10056314,24.39,200000,0.069962188,0.14766194,0.104702705,0.361523656,0.473948721,0.417959189,0.196649432,0.289434546,0.241536159,0.058327921,0.138549697,0.094387356,0.012715844,0.05235071,0.028453931,0.005542181,0.035119721,0.016411558,0.096549103,0.050323643,0.156124317,0.139252844,0.096942441,0.187364493,0.044865489,0.024281811,0.073733061,76,56.5,62.1,57.2,29.8,3.2,4.3,9.7,11.1
Georgia,GEO,14,175,16,128,30,546,163,0.757,38.6,7.8,4300,,,Men,26.71872927,27.83289792,27.28,300000,0.020445159,0.063769551,0.038229472,0.339764402,0.473118878,0.406499094,0.292000319,0.431761618,0.361657702,0.08252826,0.196945534,0.134535367,0.014140573,0.068151939,0.035195062,0.002453608,0.022362489,0.009273691,0.014609612,0.005190389,0.030748978,0.17900412,0.12211402,0.24547012,0.044468753,0.021192465,0.079671507,22.6,25.9,28.3,26,52.1,,,7.6,
Georgia,GEO,14,175,16,128,30,546,163,0.757,38.6,7.8,4300,,,Women,26.83998264,28.16491759,27.5,300000,0.033662895,0.085290298,0.056154261,0.315422985,0.436932399,0.376088387,0.248672055,0.36111653,0.30403084,0.093391448,0.203827471,0.145652047,0.025318089,0.095850305,0.054115149,0.010501354,0.060947556,0.029238202,0.034721115,0.015323605,0.064211824,0.229005397,0.167495943,0.29442878,0.08335335,0.047648721,0.131704308,22.6,25.9,28.3,26,52.1,,,7.6,
Germany,DEU,19,50,13,165,32,1150,138,0.928,31.1,,47410,,,Men,26.77638208,27.94941128,27.36,2000000,0.009277657,0.021780482,0.014613788,0.281230528,0.373030276,0.326762557,0.371739051,0.471472171,0.421467119,0.139242716,0.220634376,0.178204813,0.026071346,0.065427045,0.043221293,0.005688315,0.023574882,0.012647028,0.003083402,0.001559987,0.005375493,0.234073134,0.192610271,0.278262652,0.055868321,0.036784317,0.079061559,10.8,13.7,22.4,13.9,55.7,,,2.5,
Germany,DEU,19,50,13,165,32,1150,138,0.928,31.1,,47410,,,Women,25.1164864,26.68437905,25.9,2000000,0.041681349,0.082741093,0.060284492,0.383654698,0.477091534,0.431095165,0.246266632,0.329992862,0.287373995,0.104996148,0.175915955,0.138656565,0.028851712,0.068547556,0.046339727,0.009578542,0.031842303,0.018703013,0.017547042,0.010314176,0.0276961,0.203699305,0.16626529,0.242544598,0.06504274,0.044774583,0.089979853,10.8,13.7,22.4,13.9,55.7,,,2.5,
Ghana,GHA,14,161,22,38,36,661,57,0.577,,15.6,1890,,,Men,22.08485168,23.07912113,22.59,1700000,0.101672987,0.194639238,0.144654592,0.474871972,0.595270187,0.53493846,0.129772868,0.220610276,0.173053861,0.017991046,0.05351454,0.033306777,0.001776302,0.010439843,0.00491355,0.000680542,0.006154009,0.002510778,0.106621982,0.066316427,0.155707061,0.040731106,0.024570438,0.061651936,0.007424328,0.003483351,0.013972219,68.8,47.1,56.1,47.8,30.2,,,6.3,
Ghana,GHA,14,161,22,38,36,661,57,0.577,,15.6,1890,,,Women,24.50658731,25.60844821,25.06,1700000,0.071861986,0.136505632,0.101748537,0.375382663,0.472849788,0.424837173,0.203224291,0.289690426,0.244375779,0.071659249,0.141569048,0.102865377,0.017780465,0.051811499,0.032414376,0.010719168,0.038496714,0.022062814,0.071695945,0.044772358,0.106667612,0.157342567,0.120857065,0.198417416,0.05447719,0.034586333,0.078190993,68.8,47.1,56.1,47.8,30.2,,,6.3,
Greece,GRC,22,5,15,132,37,1025,52,0.856,36.1,,22540,,,Men,26.58652146,28.56789528,27.58,300000,0.00671803,0.022670384,0.013360685,0.245651935,0.352406634,0.297574279,0.389696338,0.517000201,0.452912357,0.120086294,0.241316298,0.178253949,0.018332163,0.077496029,0.04194966,0.003566199,0.031476633,0.012874739,0.003074331,0.000945904,0.007073719,0.233078348,0.171589676,0.29760769,0.054824399,0.027976446,0.093209829,12,13.3,22.7,13.6,61,,,2.5,
Greece,GRC,22,5,15,132,37,1025,52,0.856,36.1,,22540,,,Women,25.68336692,28.2422147,26.96,300000,0.023539638,0.064703,0.041668996,0.322567763,0.436670876,0.379486335,0.259069533,0.366454602,0.31194971,0.112639882,0.228841349,0.166361936,0.032953983,0.110433194,0.066216657,0.007732155,0.050722725,0.023267387,0.011048978,0.004202683,0.022400484,0.255845981,0.194613908,0.324100756,0.089484045,0.051546765,0.137374706,12,13.3,22.7,13.6,61,,,2.5,
Grenada,GRD,17,104,10,197,27,87,197,0.754,,,7510,,,Men,24.18275253,25.87760826,25.01,,0.038603631,0.115558468,0.071171842,0.377381234,0.532335964,0.454224754,0.236221971,0.379715433,0.306546509,0.053067789,0.156061818,0.098443257,0.005786885,0.044506722,0.019511688,0.000975588,0.018085374,0.006075078,0.044026873,0.015409702,0.090187611,0.124030022,0.075650443,0.184524851,0.025586766,0.009913724,0.05276126,33.8,22.4,27,22.6,49.4,,,,
Grenada,GRD,17,104,10,197,27,87,197,0.754,,,7510,,,Women,27.50085319,29.65931654,28.6,,0.028881203,0.083771376,0.052210481,0.264813582,0.392961486,0.32753705,0.240554674,0.368887737,0.303766386,0.097854397,0.232112976,0.159301994,0.035241014,0.136370954,0.076425327,0.015036205,0.097772522,0.046394162,0.0343646,0.012633296,0.072178241,0.282121483,0.207989681,0.36267903,0.122819489,0.069074326,0.193819455,33.8,22.4,27,22.6,49.4,,,,
Guatemala,GTM,16,116,20,63,36,59,63,0.616,,14.3,3320,,,Men,24.2910836,26.82518931,25.59,2600000,0.022321677,0.071958679,0.042993487,0.36532548,0.498898376,0.431917646,0.29689188,0.437723942,0.367710869,0.068433775,0.174233184,0.115774103,0.006732374,0.043685598,0.020355043,0.000826958,0.013733943,0.004649776,0.016599077,0.005658366,0.035637431,0.140778921,0.090759554,0.200917148,0.025004819,0.009843498,0.048824036,38.6,16.4,24.5,16.9,53.9,,,16.6,
Guatemala,GTM,16,116,20,63,36,59,63,0.616,,14.3,3320,,,Women,26.48473146,27.84648243,27.17,2600000,0.02483555,0.063373338,0.041780813,0.292157703,0.399364945,0.344502616,0.284971088,0.396296347,0.340080117,0.119287436,0.232599231,0.172877503,0.031865948,0.097742795,0.06001802,0.008593402,0.04559792,0.022565213,0.018175719,0.008011351,0.034902309,0.255460736,0.197519666,0.317453447,0.082583233,0.050033559,0.124091203,38.6,16.4,24.5,16.9,53.9,,,16.6,
Guinea,GIN,15,139,20,66,35,213,84,0.435,,13.7,660,,,Men,21.01615835,23.71376006,22.36,1900000,0.102704434,0.228069372,0.159660518,0.464758291,0.616060573,0.54180751,0.103934641,0.198991355,0.148176569,0.0120138,0.049232967,0.027059474,0.000842178,0.009644393,0.003647444,0.000308841,0.0066532,0.002135723,0.117512761,0.05644647,0.195523516,0.032842641,0.016847015,0.055888561,0.005783167,0.001913849,0.01331004,75.1,49.5,62.1,50.7,24.9,,,16.8,
Guinea,GIN,15,139,20,66,35,213,84,0.435,,13.7,660,,,Women,22.40520571,24.12188462,23.26,1900000,0.080885856,0.162716045,0.118995908,0.386999421,0.502679338,0.445088795,0.182156006,0.272201507,0.226006379,0.044068743,0.112217919,0.074317511,0.00931005,0.040653467,0.021411497,0.003283317,0.02400323,0.010626428,0.103553482,0.054000959,0.167425729,0.106355436,0.071929863,0.147545329,0.032037925,0.016718902,0.054151905,75.1,49.5,62.1,50.7,24.9,,,16.8,
Guyana,GUY,17,93,17,104,34,405,95,0.645,,23,3890,,,Men,23.93555291,25.87236162,24.9,100000,0.041611744,0.127529249,0.078687853,0.386014568,0.538207724,0.462432853,0.2201292,0.366401715,0.290481318,0.044061364,0.144169697,0.086475151,0.005431497,0.043563371,0.018973627,0.002122996,0.029208769,0.010280654,0.052668545,0.019014069,0.104987192,0.115729431,0.068429792,0.175229853,0.02925428,0.011398326,0.059158255,38.7,32.9,29.5,32.7,47.3,,,8.7,
Guyana,GUY,17,93,17,104,34,405,95,0.645,,23,3890,,,Women,26.32512252,28.79937325,27.55,100000,0.031223863,0.08869397,0.056440695,0.271435448,0.405702891,0.336317673,0.238712061,0.365111076,0.300644736,0.094000008,0.223787991,0.152031278,0.031503511,0.129666886,0.072278823,0.01057109,0.083100978,0.036617159,0.045669636,0.017305746,0.092380643,0.26092726,0.189331538,0.33896117,0.108895982,0.057127209,0.173923737,38.7,32.9,29.5,32.7,47.3,,,8.7,
Haiti,HTI,14,166,21,50,35,-265,82,0.486,,6,800,,,Men,23.97573717,28.56563084,26.24,5200000,0.029602099,0.096806222,0.057527814,0.344541808,0.489233879,0.415520126,0.258578469,0.406751644,0.331161394,0.065289547,0.187412916,0.118868915,0.008211613,0.06484235,0.02852455,0.002096073,0.036118038,0.012224084,0.036173118,0.010375366,0.082018204,0.159617549,0.1013567,0.232785775,0.040748634,0.01577259,0.080798986,59.4,45.7,50.2,46,51.8,,,49.6,
Haiti,HTI,14,166,21,50,35,-265,82,0.486,,6,800,,,Women,23.10243083,24.95741372,24.04,5200000,0.031900648,0.086412934,0.055147634,0.261197424,0.380124087,0.319186527,0.259367226,0.381197569,0.31875664,0.103070364,0.217393696,0.157026129,0.033969481,0.118372846,0.070040003,0.009873172,0.059735762,0.029002823,0.050840244,0.022535645,0.094598536,0.256068955,0.19331033,0.322791462,0.099042826,0.056797075,0.152146143,59.4,45.7,50.2,46,51.8,,,49.6,
Honduras,HND,15,146,16,126,31,279,152,0.6,52.6,17.8,2040,,,Men,24.10756603,27.42334286,25.76,1300000,0.025398262,0.081592418,0.048502622,0.351432663,0.4881555,0.418804165,0.294731538,0.435325405,0.365136713,0.067418851,0.179776633,0.118139899,0.006244805,0.047708801,0.02114667,0.000972078,0.017690607,0.005860931,0.022408999,0.00742525,0.04979853,0.1451475,0.092551105,0.208797253,0.027007601,0.00993091,0.055037333,31.7,16.2,20.5,16.4,53.5,,,15.4,
Honduras,HND,15,146,16,126,31,279,152,0.6,52.6,17.8,2040,,,Women,26.58251691,28.17260173,27.38,1300000,0.026386015,0.068929304,0.044654063,0.283981784,0.393578549,0.337903407,0.27690404,0.387025236,0.332266582,0.118290536,0.232462992,0.172026104,0.03080673,0.103776574,0.061351587,0.009336816,0.051577663,0.025346835,0.026451422,0.011623068,0.049946271,0.258724526,0.198695005,0.323983551,0.086698423,0.05047953,0.134030126,31.7,16.2,20.5,16.4,53.5,,,15.4,
Hungary,HUN,16,128,15,139,31,681,153,0.835,31.5,,13480,,,Men,26.71878229,29.35017487,28.03,200000,0.007490086,0.023823043,0.014171607,0.235133501,0.34123304,0.286037186,0.35992646,0.48700262,0.423645768,0.147322838,0.271585127,0.206235952,0.023435868,0.086237482,0.048580974,0.005194284,0.038571688,0.016856143,0.004472371,0.001581549,0.009670617,0.271673068,0.2098365,0.33880218,0.065437116,0.035599675,0.105319747,25.1,23.9,26.5,24,60,,,2.5,
