area,food_group,ssr_645,ssr_664
Belize,Fats & Oils,1.361549363,10.89655172
Belize,Fruits,2665.332963,748.5746835
Belize,Grains (Starchy staples),341.2995133,930.4278388
Belize,"Legumes, Nuts & Seeds",97.81777637,297.5023256
Belize,Meats,188.6161274,273.3520343
Belize,Miscellaneous,,
Belize,Spices,0,0
Belize,Sugars,130.2781455,459.1885278
Belize,Vegetables,93.51203256,24.64864865
Benin,Alcohol,30.58839289,15.64511041
Benin,Dairy,11.17582065,8.25338809
Benin,Fats & Oils,15.94416639,140.5557522
Benin,Fruits,177.6355887,56.74619579
Benin,Grains (Starchy staples),995.1853846,1713.223063
Benin,"Legumes, Nuts & Seeds",82.3935453,311.2374448
Benin,Meats,35.73303819,34.39524073
Benin,Miscellaneous,,
Benin,Spices,13.29127202,42.16
Benin,Sugars,8.176598384,30.06580407
Benin,Vegetables,44.30951516,12.97348315
Bermuda,Alcohol,0,0
Bermuda,Dairy,32.12161711,17.46341463
Bermuda,Fats & Oils,0,0
Bermuda,Fruits,0,0
Bermuda,Grains (Starchy staples),28.18786693,82.42857143
Bermuda,"Legumes, Nuts & Seeds",0,0
Bermuda,Meats,0,0
Bermuda,Miscellaneous,,
Bermuda,Spices,0,0
Bermuda,Sugars,0,0
Bermuda,Vegetables,127.4472901,33.96521739
Bolivia (Plurinational State of),Alcohol,87.09557183,35.70395349
Bolivia (Plurinational State of),Dairy,123.5478586,71.23676652
Bolivia (Plurinational State of),Fats & Oils,66.6537026,541.0822464
Bolivia (Plurinational State of),Fruits,153.4653517,50.21208307
Bolivia (Plurinational State of),Grains (Starchy staples),554.3694243,1065.770152
Bolivia (Plurinational State of),"Legumes, Nuts & Seeds",37.25758147,93.85896578
Bolivia (Plurinational State of),Meats,210.5445031,325.3335601
Bolivia (Plurinational State of),Miscellaneous,,
Bolivia (Plurinational State of),Spices,9.585520482,12.27922705
Bolivia (Plurinational State of),Sugars,73.13171,266.2832442
Bolivia (Plurinational State of),Vegetables,73.14739942,26.07534517
Bosnia and Herzegovina,Alcohol,109.8838556,114.1412955
Bosnia and Herzegovina,Dairy,446.2993185,267.2882146
Bosnia and Herzegovina,Fats & Oils,10.78630137,92.63529412
Bosnia and Herzegovina,Fruits,215.6943589,92.13042462
Bosnia and Herzegovina,Grains (Starchy staples),482.1902645,1088.292129
Bosnia and Herzegovina,"Legumes, Nuts & Seeds",7.381668669,25.10787519
Bosnia and Herzegovina,Meats,77.49932472,128.6960094
Bosnia and Herzegovina,Miscellaneous,,
Bosnia and Herzegovina,Spices,19.31397625,50.05315615
Bosnia and Herzegovina,Sugars,8.942763279,28.14841629
Bosnia and Herzegovina,Vegetables,454.7775611,108.7649651
Botswana,Alcohol,118.5847685,59.31511254
Botswana,Dairy,143.0033611,86.40274914
Botswana,Fats & Oils,9.086706541,78.87887324
Botswana,Fruits,9.861249296,2.704830054
Botswana,Grains (Starchy staples),162.9482159,397.5141129
Botswana,"Legumes, Nuts & Seeds",13.12672576,44.01176471
Botswana,Meats,128.5590446,157.5358974
Botswana,Miscellaneous,,
Botswana,Spices,0,0
Botswana,Sugars,0,0
Botswana,Vegetables,48.2921252,13.62067039
Brazil,Alcohol,190.8071896,95.66898478
Brazil,Dairy,390.9455168,240.8166807
Brazil,Fats & Oils,67.36510293,578.3271653
Brazil,Fruits,481.8782455,183.2034034
Brazil,Grains (Starchy staples),507.7635935,1152.487522
Brazil,"Legumes, Nuts & Seeds",163.1437626,393.2541197
Brazil,Meats,389.7552675,600.5247454
Brazil,Miscellaneous,,
Brazil,Spices,47.20723531,27.47602963
Brazil,Sugars,167.1632184,443.2789054
Brazil,Vegetables,86.67056883,24.19410902
Brunei Darussalam,Alcohol,0,0
Brunei Darussalam,Dairy,0,0
Brunei Darussalam,Fats & Oils,0,0
Brunei Darussalam,Fruits,41.17616123,12.47126437
Brunei Darussalam,Grains (Starchy staples),25.47859281,79.6781491
Brunei Darussalam,"Legumes, Nuts & Seeds",0,0
Brunei Darussalam,Meats,218.9859141,251.7392226
Brunei Darussalam,Miscellaneous,,
Brunei Darussalam,Spices,0,0
Brunei Darussalam,Sugars,0,0
Brunei Darussalam,Vegetables,74.90954781,24.68270677
Bulgaria,Alcohol,260.8223796,188.9628031
Bulgaria,Dairy,368.7044128,218.1161673
Bulgaria,Fats & Oils,58.41158411,486.7769944
Bulgaria,Fruits,128.4428615,49.73777778
Bulgaria,Grains (Starchy staples),954.1165085,2207.075799
Bulgaria,"Legumes, Nuts & Seeds",63.05572665,161.3639849
Bulgaria,Meats,122.5981261,176.3786536
Bulgaria,Miscellaneous,,
Bulgaria,Spices,13.48495015,15.60544218
Bulgaria,Sugars,45.74041859,158.0257069
Bulgaria,Vegetables,116.3705941,23.91454697
Burkina Faso,Alcohol,571.599072,181.4344448
Burkina Faso,Dairy,54.06520855,40.73023967
Burkina Faso,Fats & Oils,11.69975177,102.1852349
Burkina Faso,Fruits,17.55546,5.930044843
Burkina Faso,Grains (Starchy staples),577.5002871,1622.154685
Burkina Faso,"Legumes, Nuts & Seeds",93.71918502,398.321074
Burkina Faso,Meats,58.36155105,86.66196796
Burkina Faso,Miscellaneous,,
Burkina Faso,Spices,1.01618929,1.363636364
Burkina Faso,Sugars,15.29024787,54.65227193
Burkina Faso,Vegetables,42.30606654,11.27731092
Cabo Verde,Alcohol,36.13197209,19.86226415
Cabo Verde,Dairy,63.34749023,41.11407942
Cabo Verde,Fats & Oils,0,0
Cabo Verde,Fruits,172.8179328,53.12727273
Cabo Verde,Grains (Starchy staples),92.86446821,237.9461173
Cabo Verde,"Legumes, Nuts & Seeds",44.75539263,119.1380282
Cabo Verde,Meats,171.5549132,255.5291339
Cabo Verde,Miscellaneous,,
Cabo Verde,Spices,7.509589041,17.4
Cabo Verde,Sugars,33.9994997,119.1304348
Cabo Verde,Vegetables,158.7319834,46.0173913
Cambodia,Alcohol,54.04045881,33.9766323
Cambodia,Dairy,4.291633647,2.997520661
Cambodia,Fats & Oils,8.011282343,67.03194444
Cambodia,Fruits,66.08948733,30.6628734
Cambodia,Grains (Starchy staples),576.0996184,1771.770201
Cambodia,"Legumes, Nuts & Seeds",34.59411555,137.7878261
Cambodia,Meats,157.7182717,200.3354747
Cambodia,Miscellaneous,,
Cambodia,Spices,2.701800831,6.357303371
Cambodia,Sugars,42.56816182,114.5897108
Cambodia,Vegetables,98.94090761,22.04218009
Cameroon,Alcohol,194.594821,81.65867017
Cameroon,Dairy,30.55816238,20.49987805
Cameroon,Fats & Oils,24.06531195,211.1058452
Cameroon,Fruits,286.2390958,120.1391224
